Positive	Negative	Text	Explanation
3	-2	HADOOP-178.  Piggyback DFS blockwork requests on heartbeat responses, reducing traffic.  Also move blockwork delay on startup from datanode to namenode, fixing a problems when the namenode alone restarts.  Contributed by Hairong Kuang.   	HADOOP -178 .[sentence: 1,-1] Piggyback DFS blockwork requests on heartbeat responses ,reducing traffic .[sentence: 1,-1] Also move blockwork delay[-2]on startup from datanode to namenode ,fixing[3]a problems[-2]when the namenode alone restarts .[sentence: 3,-2] Contributed[2]by Hairong Kuang .[sentence: 2,-1]  [result: max + and - of any sentence]
1	-1	HADOOP-177.  Page through tasks in web ui.   	HADOOP -177 .[sentence: 1,-1] Page through tasks in web ui .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-174.  Make job client try up to five times to contact job tracker before aborting a job.  Contributed by Owen.   	Fix[3]HADOOP -174 .[sentence: 3,-1] Make job client try up to five times to contact job tracker before aborting a job .[sentence: 1,-1] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
1	-1	Note recent changes.   	Note recent changes .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-2	Fix createNewFile() so that it creates a .crc file, like everything else does.  This fixes some annoyances in Nutch.    	Fix[3]createNewFile ()so that it creates a .[sentence: 3,-1] crc file ,like everything else does .[sentence: 1,-1] This fixes[3]some annoyances[-3][--1 booster word]in Nutch .[sentence: 3,-2]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-167.  Reduce the number of Configuration and JobConf's allocated.  Contributed by Owen.   	Fix[3]HADOOP -167 .[sentence: 3,-1] Reduce the number of Configuration and JobConf's allocated .[sentence: 1,-1] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
1	-1	Change default replication.max in code to be the same as in hadoop-default.xml.    	Change default replication .[sentence: 1,-1] max in code to be the same as in hadoop -default .[sentence: 1,-1] xml .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	HADOOP-173.  Optimize allocation of tasks with local data.   	HADOOP -173 .[sentence: 1,-1] Optimize allocation of tasks with local data .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-2	Permit configuration to specify higher replication for job submission files.  Also reduce complaints when a file's replication is greater than the size of the cluster.   	Permit configuration to specify higher replication for job submission files .[sentence: 1,-1] Also reduce complaints[-2]when a file's replication is greater than the size of the cluster .[sentence: 1,-2]  [result: max + and - of any sentence]
3	-1	Fix bug introduced yesterday.  NullInstance really is still required!   	Fix[3]bug introduced yesterday .[sentence: 3,-1] NullInstance really is still required ![+0.6 punctuation mood emphasis][sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-170.  Permit FileSystem clients to examine and modify the replication count of individual files.  Also fix a few replication-related bugs.  Contributed by Konstantin Shvachko.   	Fix[3]HADOOP -170 .[sentence: 3,-1] Permit FileSystem clients to examine and modify the replication count of individual files .[sentence: 1,-1] Also fix[3]a few replication -related bugs .[sentence: 3,-1] Contributed[2]by Konstantin Shvachko .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-169.  Don't fail reduce tasks if a call to the jobtracker to locate map outputs fails.  Contributed by Owen.   	Fix[3]HADOOP -169 .[sentence: 3,-1] Don't fail reduce tasks if a call to the jobtracker to locate map outputs fails .[sentence: 1,-1] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-168.  Add IOException to throws of all MapReduce RPC protocol methods.  Contributed by Owen.   	Fix[3]HADOOP -168 .[sentence: 3,-1] Add IOException to throws of all MapReduce RPC protocol methods .[sentence: 1,-1] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-3	Fix HADOOP-166.  RPCs can now pass subclasses of declared types as parameters.  Note this change is incompatible for any application that stores ObjectWritables in a file.  Nutch only stores ObjectWritable in temporary intermediate files, so this is not a problem for Nutch.   	Fix[3]HADOOP -166 .[sentence: 3,-1] RPCs can now pass subclasses of declared types as parameters .[sentence: 1,-1] Note this change is incompatible[-3]for any application that stores ObjectWritables in a file .[sentence: 1,-3] Nutch only stores ObjectWritable in temporary intermediate files ,so this is not a problem[-2]for Nutch .[sentence: 1,-2]  [result: max + and - of any sentence]
1	-1	Remove some Java 1.5 dependencies from the new metrics code.   	Remove some Java 1 .[sentence: 1,-1] 5 dependencies from the new metrics code .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-160.  Remove some uneeded synchronization around time-consuming operations in the TaskTracker.   	Fix[3]HADOOP -160 .[sentence: 3,-1] Remove some uneeded synchronization around time -consuming operations in the TaskTracker .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Add attribution.    	Add attribution .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-132.  Add an API for reporting metrics (as yet unused).  Contributed by David Bowen.   	Fix[3]HADOOP -132 .[sentence: 3,-1] Add an API for reporting metrics (as yet unused ).[sentence: 1,-1] Contributed[2]by David Bowen .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-162.  Stop generating ConcurrentModificationExceptions when releasing file locks.  Contributed by Owen O'Malley.   	Fix[3]HADOOP -162 .[sentence: 3,-1] Stop generating ConcurrentModificationExceptions when releasing file locks .[sentence: 1,-1] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-154 (fixed in other relevant places, too).    	Fix[3]for HADOOP -154 (fixed[3]in other relevant places ,too ).[sentence: 3,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-150.  Improved task names that include job name.   	Fix[3]HADOOP -150 .[sentence: 3,-1] Improved[2]task names that include job name .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix HADOOP-157.  Make dfs client wait long enough for locks on abandoned files to expire when creating files, so that when a task that writes to dfs fails, its replacements do not also immediately fail when they try to open the same files.  Contributed by Owen O'Malley.   	Fix[3]HADOOP -157 .[sentence: 3,-1] Make dfs client wait long enough for locks on abandoned[-2]files to expire when creating files ,so that when a task that writes to dfs fails ,its replacements do not also immediately fail when they try to open the same files .[sentence: 1,-2] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-69.  NPE when getting hints for a non-existant file chunk.  Contributed by Bryan Pendelton.   	Fix[3]HADOOP -69 .[sentence: 3,-1] NPE when getting hints for a non -existant file chunk .[sentence: 1,-1] Contributed[2]by Bryan Pendelton .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix HADOOP-151.  Close a potential socket leak.   	Fix[3]HADOOP -151 .[sentence: 3,-1] Close a potential socket leak[-2].[sentence: 1,-2]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-148.  Maintain a task failure count per tasktracker and display it in the web ui.  Contributed by Owen.   	Fix[3]HADOOP -148 .[sentence: 3,-1] Maintain a task failure count per tasktracker and display it in the web ui .[sentence: 1,-1] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix for HADOOP-142.  Avoid re-running a task on a node where it has previously failed.  Contributed by Owen.   	Fix[3]for HADOOP -142 .[sentence: 3,-1] Avoid[-2]re -running a task on a node where it has previously failed .[sentence: 1,-2] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix for HADOOP-133.  Retry pings from child to parent, in case of (local) communcation problems.  Also log exit status, so that one can distinguish patricide from other deaths.  Contributed by Owen.   	Fix[3]for HADOOP -133 .[sentence: 3,-1] Retry pings from child to parent ,in case of (local )communcation problems[-2].[sentence: 1,-2] Also log exit[-2]status ,so that one can distinguish patricide from other deaths .[sentence: 1,-2] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
1	-1	Log the last two commits.    	Log the last two commits .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-134.  Don't hang jobs when the tasktracker is misconfigured to use an un-writable local directory.  Contributed by Owen.   	Fix[3]for HADOOP -134 .[sentence: 3,-1] Don't hang[-2][=0 negation]jobs when the tasktracker is misconfigured to use an un -writable local directory .[sentence: 1,-1] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix HADOOP-114.  Error message named wrong config property.  Contributed by Michael Stack.   	Fix[3]HADOOP -114 .[sentence: 3,-1] Error[-2]message named wrong config property .[sentence: 1,-2] Contributed[2]by Michael Stack .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix for HADOOP-139.  Fix a potential deadlock in LocalFileSystem.lock().  Contributed by Igor Bolotin.   	Fix[3]for HADOOP -139 .[sentence: 3,-1] Fix[3]a potential deadlock[-2]in LocalFileSystem .[sentence: 3,-2] lock ().[sentence: 1,-1] Contributed[2]by Igor Bolotin .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-138.  Stop multiple tasks per heartbeat.  Contributed by Stefan.   	Fix[3]HADOOP -138 .[sentence: 3,-1] Stop multiple tasks per heartbeat .[sentence: 1,-1] Contributed[2]by Stefan .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix HADOOP-118.  Improved cleanup of abandoned file creations in DFS.  Contributed by Owen.   	Fix[3]HADOOP -118 .[sentence: 3,-1] Improved[2]cleanup of abandoned[-2]file creations in DFS .[sentence: 2,-2] Contributed[2]by Owen .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-143.  Stop line-wrapping when displaying stack traces.  Contributed by Owen O'Malley.   	Fix[3]HADOOP -143 .[sentence: 3,-1] Stop line -wrapping when displaying stack traces .[sentence: 1,-1] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-144.  Use mapred task id as dfs client id to faciliate debugging.  Contributed by Owen O'Malley.   	Fix[3]HADOOP -144 .[sentence: 3,-1] Use mapred task id as dfs client id to faciliate debugging .[sentence: 1,-1] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fixed HADOOP-129.  Replaced uses of java.io.File in FileSystem API with a new class named Path.  Also dfs.local.dir and mapred.local.dir may no longer be space-separated, but must now be comma-separated lists of directories.   	Fixed[3]HADOOP -129 .[sentence: 3,-1] Replaced uses of java .[sentence: 1,-1] io .[sentence: 1,-1] File in FileSystem API with a new class named Path .[sentence: 1,-1] Also dfs .[sentence: 1,-1] local .[sentence: 1,-1] dir and mapred .[sentence: 1,-1] local .[sentence: 1,-1] dir may no longer be space -separated ,but must now be comma -separated lists of directories .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Updated change log with recent changes.    	Updated change log with recent changes .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-2	Fix HADOOP-128.  Improved DFS error handling.  Contributed by Owen O'Malley.   	Fix[3]HADOOP -128 .[sentence: 3,-1] Improved[2]DFS error[-2]handling .[sentence: 2,-2] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-92.  Show information about all attempts to run each task in the web ui.  Contributed by Mahadev konar.   	Fix[3]for HADOOP -92 .[sentence: 3,-1] Show information about all attempts to run each task in the web ui .[sentence: 1,-1] Contributed[2]by Mahadev konar .[sentence: 2,-1]  [result: max + and - of any sentence]
1	-1	Add some logging during shuffle.    	Add some logging during shuffle .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Add link to store.   	Add link to store .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Stop using ssh options by default that are not yet in widely used versions of ssh.  Folks can still enable their use by uncommenting a line in conf/hadoop-env.sh.   	Stop using ssh options by default that are not yet in widely used versions of ssh .[sentence: 1,-1] Folks can still enable their use by uncommenting a line in conf /hadoop -env .[sentence: 1,-1] sh .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-131.  Add scripts to start/stop dfs and mapred daemons.  Use these in start/stop-all scripts.  Contributed by Chris Mattmann.   	Fix[3]HADOOP -131 .[sentence: 3,-1] Add scripts to start /stop dfs and mapred daemons .[sentence: 1,-1] Use these in start /stop -all scripts .[sentence: 1,-1] Contributed[2]by Chris Mattmann .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix script documentation.  Thanks, Stefan!    	Fix[3]script documentation .[sentence: 3,-1] Thanks[2],Stefan ![+0.6 punctuation mood emphasis][sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-51.  Support per-file replication counts in DFS.  Contributed by Konstantin Shvachko.   	Fix[3]for HADOOP -51 .[sentence: 3,-1] Support per -file replication counts in DFS .[sentence: 1,-1] Contributed[2]by Konstantin Shvachko .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-126.  'bin/hadoop dfs -cp' now correctly handles .crc files.  This also consolidates a lot of file copying code.  Contributed by Konstantin Shvachko.   	Fix[3]for HADOOP -126 .[sentence: 3,-1] 'bin /hadoop dfs -cp 'now correctly handles .[sentence: 1,-1] crc files .[sentence: 1,-1] This also consolidates a lot of file copying code .[sentence: 1,-1] Contributed[2]by Konstantin Shvachko .[sentence: 2,-1]  [result: max + and - of any sentence]
1	-1	Preparing for 0.1.1 release.   	Preparing for 0 .[sentence: 1,-1] 1 .[sentence: 1,-1] 1 release .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-2	Fix for HADOOP-125.  Absolute paths are tricky on Windows.  For Hadoop's purposes, consider things that start with a slash to be absolute.  Also, Hadoop should not change the JVM's CWD.  All files are now correctly cleaned up for a Nutch crawl, in either local or psuedo-distributed mode.   	Fix[3]for HADOOP -125 .[sentence: 3,-1] Absolute paths are tricky[-2]on Windows .[sentence: 1,-2] For Hadoop's purposes ,consider things that start with a slash[-2]to be absolute .[sentence: 1,-2] Also ,Hadoop should not change the JVM's CWD .[sentence: 1,-1] All files are now correctly cleaned up for a Nutch crawl ,in either local or psuedo -distributed mode .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Remove .crc files too.    	Remove .[sentence: 1,-1] crc files too .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-116.  Clean up job submission files.  On job completion, remove the directory containing the submitted job.xml file, since JobClient always creates a new directory to hold this file.   	Fix[3]HADOOP -116 .[sentence: 3,-1] Clean up job submission files .[sentence: 1,-1] On job completion ,remove the directory containing the submitted job .[sentence: 1,-1] xml file ,since JobClient always creates a new directory to hold this file .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-117.  Correctly remove mapred temp files.   	Fix[3]HADOOP -117 .[sentence: 3,-1] Correctly remove mapred temp files .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Update change log.    	Update change log .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix so that close() throws IOException, so that classes which override this method can throw IOException, as specified in the Closeable interface.  Also add the Apache license (which must be in every file) and add a bit more javadoc.    	Fix[3]so that close ()throws IOException ,so that classes which override this method can throw IOException ,as specified in the Closeable interface .[sentence: 3,-1] Also add the Apache license (which must be in every file )and add a bit more javadoc .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Trunk is now 0.2-dev.    	Trunk is now 0 .[sentence: 1,-1] 2 -dev .[sentence: 1,-1]  [result: max + and - of any sentence]
1	-1	Updating the copyright year.    	Updating the copyright year .[sentence: 1,-1]  [result: max + and - of any sentence]
2	-1	Starting a Hadoop Change Log.  Developers: please add a note to this file for each significant change.  Contributed patches should ideally include an entry for this file.    	Starting a Hadoop Change Log .[sentence: 1,-1] Developers :please[2]add a note to this file for each significant change .[sentence: 2,-1] Contributed[2]patches should ideally include an entry for this file .[sentence: 2,-1]  [result: max + and - of any sentence]
1	-1	Update site for 0.1.0 release.   	Update site for 0 .[sentence: 1,-1] 1 .[sentence: 1,-1] 0 release .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-2	More fixes to get working directory to work on Windows.  Long-term we should stop using java.io.File for our abstract file paths.  On Windows, 'new File(/foo/bar).isAbsolute()' returns false, which caused lots of problems.  So I have added a FileSystem.isAbsolute() method that we use internally.  I also added a few more .getAbsoluteFile() calls to convert paths into absolute paths so that LocalFileSystem works correctly.  Finally I took advantage of file status information cached in DFSFile, eliminating some namenode RPCs.   	More fixes[3]to get working directory to work on Windows .[sentence: 3,-1] Long -term we should stop using java .[sentence: 1,-1] io .[sentence: 1,-1] File for our abstract file paths .[sentence: 1,-1] On Windows ,'new File (/foo /bar ).[sentence: 1,-1] isAbsolute ()'returns false ,which caused lots of problems[-2].[sentence: 1,-2] So I have added a FileSystem .[sentence: 1,-1] isAbsolute ()method that we use internally .[sentence: 1,-1] I also added a few more .[sentence: 1,-1] getAbsoluteFile ()calls to convert paths into absolute paths so that LocalFileSystem works correctly .[sentence: 1,-1] Finally I took advantage of file status information cached in DFSFile ,eliminating some namenode RPCs .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix wiki url.    	Fix[3]wiki url .[sentence: 3,-1]  [result: max + and - of any sentence]
1	-2	If close() fails, then abandon the file, so that any leases are cleared and other task may attempt to create it.    	If close ()fails ,then abandon[-2]the file ,so that any leases are cleared and other task may attempt to create it .[sentence: 1,-2]  [result: max + and - of any sentence]
3	-2	Fix a bug where writing zero-length files would cause things to hang.    	Fix[3]a bug where writing zero -length files would cause things to hang[-2].[sentence: 3,-2]  [result: max + and - of any sentence]
1	-1	DFS re-format should fully delete old namenode data.   	DFS re -format should fully delete old namenode data .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-102.  Contributed by Konstantin.    	Fix[3]for HADOOP -102 .[sentence: 3,-1] Contributed[2]by Konstantin .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix HADOOP-100.  Be more consistent about synchronization of access to taskTracker collection.  Contributed by Owen O'Malley.   	Fix[3]HADOOP -100 .[sentence: 3,-1] Be more consistent about synchronization of access to taskTracker collection .[sentence: 1,-1] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix for HADOOP-107.  As they were written, dfs blocks were both trickled to a datanode and tee'd to a temp file (in case the connection to the datanode failed).  Now they're only written to the temp file, with no connection to the datanode made until the block is complete.  This reduces the number of long-lived mostly-idle connections to datanodes, which was causing problems.  It also simplifies the DFSClient code significantly.   	Fix[3]for HADOOP -107 .[sentence: 3,-1] As they were written ,dfs blocks were both trickled[-2]to a datanode and tee'd to a temp file (in case the connection to the datanode failed ).[sentence: 1,-2] Now they're only written to the temp file ,with no connection to the datanode made until the block is complete .[sentence: 1,-1] This reduces the number of long -lived mostly -idle connections to datanodes ,which was causing problems[-2].[sentence: 1,-2] It also simplifies the DFSClient code significantly .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-103, part II: I forgot to add this file the first time!   	Fix[3]for HADOOP -103 ,part II :I forgot to add this file the first time ![+0.6 punctuation mood emphasis][sentence: 3,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-103.  Add a base class for Mapper and Reducer implementations that implements Closeable and JobConfigurable.  Use it in supplied Mappers & Reducers.  Also some minor improvements to demos.  Contributed by Owen O'Malley.   	Fix[3]for HADOOP -103 .[sentence: 3,-1] Add a base class for Mapper and Reducer implementations that implements Closeable and JobConfigurable .[sentence: 1,-1] Use it in supplied Mappers &Reducers .[sentence: 1,-1] Also some minor improvements[2]to demos .[sentence: 2,-1] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-110.  Reuse keys and values when mapping.  Contributed by Owen O'Malley.    	Fix[3]for HADOOP -110 .[sentence: 3,-1] Reuse keys and values[2]when mapping .[sentence: 2,-1] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-2.  The combiner now clones keys and values, so mappers may now safely reuse emitted keys and values.  Contributed by Owen O'Malley.   	Fix[3]for HADOOP -2 .[sentence: 3,-1] The combiner now clones keys and values[2],so mappers may now safely reuse emitted keys and values[2].[sentence: 2,-1] Contributed[2]by Owen O'Malley .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-1	Fix for HADOOP-112.  All operations on local files are now performed through a LocalFileSystem.  In particular, listing the local directory, which was causing this bug, when CRC files were included in the listing.  Now they are correctly excluded.    	Fix[3]for HADOOP -112 .[sentence: 3,-1] All operations on local files are now performed through a LocalFileSystem .[sentence: 1,-1] In particular ,listing the local directory ,which was causing this bug ,when CRC files were included in the listing .[sentence: 1,-1] Now they are correctly excluded .[sentence: 1,-1]  [result: max + and - of any sentence]
3	-2	Fix for HADOOP-84.  Improve error and log messages when block cannot be obtained by including file name and offset.  Also removed a few unused variables.  Contributed by Konstantin Shvachko.   	Fix[3]for HADOOP -84 .[sentence: 3,-1] Improve[2]error[-2]and log messages when block cannot be obtained by including file name and offset .[sentence: 2,-2] Also removed a few unused variables .[sentence: 1,-1] Contributed[2]by Konstantin Shvachko .[sentence: 2,-1]  [result: max + and - of any sentence]
3	-2	Fix HADOOP-33.  Avoid calling df too frequently by caching values internally.  Contributed by Konstantin Shvachko.   	Fix[3]HADOOP -33 .[sentence: 3,-1] Avoid[-2]calling df too frequently by caching values[2]internally .[sentence: 2,-2] Contributed[2]by Konstantin Shvachko .[sentence: 2,-1]  [result: max + and - of any sentence]
